votes_1994,turnout_1994,turnout_2000,pri_1994_votes,pri_2000_share,pan_1994_votes,pan_2000_share,prd_1994_votes,prd_2000_share,intent_to_treat,early_progresa,poverty,population,share_eligible,num_villages
490,0.6870032548904419,0.5364865064620972,305,0.20675675570964813,17,0.07567567378282547,103,0.21486486494541168,1,0.994413435459137,4.333333492279053,1446,1,3
303,0.7246496677398682,0.7174515128135681,151,0.13296398520469666,13,0.060941826552152634,106,0.4736842215061188,1,0.7525773048400879,3.799999952316284,804,0.746268630027771,6
624,0.8448712825775146,0.6602176427841187,289,0.14147521555423737,60,0.1172914132475853,181,0.3639661371707916,1,0.9593495726585388,4.285714149475098,1471,0.5649217963218689,8
836,0.7693450450897217,0.5868028402328491,443,0.2120974063873291,31,0.05263157933950424,299,0.2867242693901062,1,0.6800000071525574,4.4285712242126465,2385,1,9
458,1,0.8619329333305359,257,0.48126232624053955,2,0.009861933067440987,183,0.35305720567703247,1,0.8305084705352783,4.199999809265137,845,1,14
139,0.7304622530937195,0.7531380653381348,72,0.3305439352989197,0,0.016736401244997978,65,0.3933054506778717,1,0.9074074029922485,4.5,452,1,2
653,0.8064295649528503,0.8287596106529236,297,0.45334798097610474,0,0.007683863863348961,345,0.36443468928337097,0,0.8656716346740723,4.599999904632568,1728,1,4
60,0.5065444111824036,0.5233644843101501,55,0.37383177876472473,0,0.018691588193178177,5,0.10280373692512512,1,0.9411764740943909,5,306,1,3
837,0.07847832143306732,0.073618583381176,322,0.020838670432567596,173,0.018191134557127953,273,0.030574770644307137,1,0.5251798629760742,3.4285714626312256,19776,0.04227346181869507,7
547,0.9436344504356384,0.644444465637207,319,0.36666667461395264,52,0.13650794327259064,44,0.11587301641702652,0,0.4615384638309479,4,1114,0.6014362573623657,7
531,0.7483025193214417,0.6347606778144836,310,0.30226701498031616,36,0.04408060386776924,135,0.26448363065719604,1,1,4.666666507720947,1518,1,8
517,0.8470522165298462,0.7594727873802185,258,0.2883031368255615,94,0.1943986862897873,113,0.2372322827577591,1,0,3.142857074737549,1216,0.14391447603702545,7
744,0.4095519185066223,0.3837147355079651,423,0.19957424700260162,9,0.015433741733431816,291,0.156998410820961,0,0.15343914926052094,4.857142925262451,3878,0.16606497764587402,14
262,0.4506342113018036,0.39408865571022034,73,0.1625615805387497,8,0.01149425283074379,133,0.18719211220741272,0,0.7711864113807678,4.733333110809326,1331,1,14
1019,0.18756234645843506,0.19117647409439087,506,0.07370658963918686,135,0.05333097279071808,303,0.05616584047675133,0,0.4431818127632141,3.5714285373687744,9859,0.10132873803377151,8
300,0.5288751721382141,0.5365448594093323,111,0.21594683825969696,5,0,177,0.31561461091041565,1,0.8984375,4.666666507720947,1196,0.9590300917625427,11
101,0.7518479824066162,0.8839285969734192,30,0.1696428507566452,0,0.0714285746216774,68,0.6339285969734192,1,0.8918918967247009,4.75,307,1,6
738,1.8588839769363403,1.9584416151046753,325,0.34545454382896423,73,0.3974025845527649,268,1.1090909242630005,0,0.16483516991138458,3.75,744,0.39919355511665344,6
310,0.5449827909469604,0.5518617033958435,167,0.269946813583374,28,0.0731382966041565,96,0.17952127754688263,1,0.12389380484819412,3.4000000953674316,1233,0.1492295265197754,6
897,0.6593509912490845,0.5066744089126587,402,0.19210678339004517,135,0.12768426537513733,294,0.1654091626405716,1,0.06521739065647125,3.75,2795,0.18962432444095612,6
624,0.6228042840957642,0.692307710647583,306,0.268767386674881,12,0.1417979598045349,254,0.2409638613462448,1,0.9099099040031433,4,2202,1,3
281,0.37071260809898376,0.36172693967819214,155,0.18903151154518127,3,0.002333722310140729,110,0.16102683544158936,1,0.2210526317358017,4.166666507720947,1501,0.8107928037643433,11
571,0.40409085154533386,0.5475819110870361,361,0.2831513285636902,54,0.10842433571815491,80,0.1372854858636856,0,0.6693227291107178,3.8181817531585693,2832,0.762005627155304,13
160,0.7604057788848877,0.8090452551841736,133,0.6281406879425049,1,0.035175878554582596,19,0.12562814354896545,0,0.019999999552965164,5,424,1,1
275,0.633714497089386,0.5290697813034058,122,0.1899224817752838,0,0,152,0.3217054307460785,0,0.8939393758773804,5,944,1,7
853,0.10758701711893082,0.09750144928693771,426,0.038814641535282135,167,0.034166183322668076,219,0.021963974460959435,0,0.5,4.400000095367432,16028,0.03799600526690483,5
626,0.08174220472574234,0.057056330144405365,347,0.029073288664221764,83,0.012961841188371181,99,0.012840702198445797,1,0.932692289352417,4,15480,0.003940568305552006,2
185,0.6717183589935303,0.6278316974639893,143,0.5404530763626099,34,0.06472492218017578,1,0.012944984249770641,1,1,4,656,1,1
486,0.479318767786026,0.3737051784992218,166,0.2525896430015564,102,0.03187251091003418,86,0.0494023896753788,1,0.9934425950050354,5,2239,1,6
377,0.41898736357688904,0.5393374562263489,200,0.3964803218841553,76,0.04865424335002899,21,0.018633540719747543,1,1,5,1877,1,4
319,0.7969235777854919,0.7756756544113159,208,0.454054057598114,40,0.2540540397167206,17,0.029729729518294334,1,1,5,857,1,3
721,0.8546140789985657,0.8264563083648682,506,0.4417475759983063,111,0.25849515199661255,44,0.0776699036359787,1,0.8115183115005493,4.199999809265137,1585,1,5
422,0.9176644086837769,0.8279352188110352,305,0.5769230723381042,14,0.15182186663150787,19,0.036437246948480606,1,1,4.25,900,1,4
573,0.3858889043331146,0.44128328561782837,411,0.3002421259880066,66,0.09927360713481903,50,0.024818401783704758,0,0.3333333432674408,4.5,2715,0.1742173135280609,12
577,0.6519330739974976,0.6283566355705261,360,0.3372717499732971,133,0.22878624498844147,70,0.044038668274879456,1,0.40425533056259155,4,1611,0.38050898909568787,4
