"","black","born","district","committee_chair","congress","delegation_size","democrat","died","dwnom1","dwnom2","year_elected","female","freshman","icpsr","latino","les","majority_leader","majority","minority_leader","party_code","seniority","state","subcommittee_chair","name","vote_share","year","aapi"
"95",0,1942,1,0,93,6,1,2007,-0.245000004768372,0.689000010490417,1971,0,0,13048,0,0.062020905315876,0,1,0,100,2,"SC",0,"Davis, Mendel",54,1973,0
"96",0,1901,9,0,93,39,1,1987,-0.303000003099442,0.199000000953674,1948,0,0,2476,0,0.0992334485054016,0,1,0,100,13,"NY",0,"Delaney, James",93,1973,0
"97",0,1918,4,0,93,4,0,2002,0.282000005245209,-0.795000016689301,1966,0,0,11011,0,0.208473175764084,0,0,0,200,4,"OR",0,"Dellenback, John",63,1973,0
"98",1,1935,7,0,93,43,1,NA,-0.643999993801117,-0.646000027656555,1970,0,0,13011,0,0.818128228187561,0,1,0,100,2,"CA",1,"Dellums, Ronald",56,1973,0
"99",0,1923,1,0,93,6,1,2016,-0.522000014781952,0.852999985218048,1970,0,0,13012,0,1.45034539699554,0,1,0,100,2,"SD",0,"Denholm, Frank",61,1973,0
"100",0,1912,10,0,93,11,0,1999,0.509999990463257,-0.24099999666214,1968,0,0,12012,0,0.0568524971604347,0,0,0,200,3,"IN",0,"Dennis, David",57,1973,0
"101",0,1908,21,0,93,25,1,1988,-0.38400000333786,0.444999992847443,1958,0,0,2513,0,2.79179620742798,0,1,0,100,8,"PA",1,"Dent, John",62,1973,0
"102",0,1926,4,0,93,24,0,2012,0.342000007629395,-0.361000001430511,1958,0,0,2525,0,0.0899303108453751,0,0,0,200,8,"IL",0,"Derwinski, Edward",71,1973,0
"103",0,1915,12,0,93,23,0,1997,0.501999974250793,0.0740000009536743,1958,0,0,2533,0,0.0992334485054016,0,0,1,200,8,"OH",0,"Devine, Samuel",56,1973,0
"104",0,1925,2,0,93,7,0,2008,0.398000001907349,-0.0570000000298023,1964,0,0,10717,0,0.916424989700317,0,0,0,200,5,"AL",0,"Dickinson, William",55,1973,0
"105",1,1922,13,1,93,19,1,1998,-0.538999974727631,-0.0879999995231628,1954,0,0,2594,0,5.52043151855469,0,1,0,100,10,"MI",1,"Diggs, Charles",86,1973,0
"106",0,1926,16,0,93,19,1,NA,-0.448000013828278,0.312999993562698,1955,0,0,2605,0,1.89920890331268,0,1,0,100,10,"MI",1,"Dingell, John",68,1973,0
"107",0,1901,3,0,93,12,1,1984,-0.296000003814697,-0.0979999974370003,1946,0,0,2660,0,1.42037284374237,0,1,0,100,14,"MA",1,"Donohue, Harold",100,1973,0
"108",0,1916,3,1,93,6,1,2005,-0.017000000923872,0.941999971866608,1950,0,0,2672,0,2.93566274642944,0,1,0,100,12,"SC",0,"Dorn, William",75,1973,0
"109",0,1919,1,0,93,10,1,2001,-0.0649999976158142,0.74099999666214,1958,0,0,2706,0,1.9385085105896,0,1,0,100,8,"VA",1,"Downing, Thomas",78,1973,0
"110",0,1920,4,0,93,12,1,2007,-0.421999990940094,-0.709999978542328,1970,0,0,13013,0,0.17688874900341,0,1,0,100,2,"MA",0,"Drinan, Robert",49,1973,0
"111",0,1915,37,1,93,39,1,1988,-0.25,0.0979999974370003,1958,0,0,2752,0,3.85362982749939,0,1,0,100,8,"NY",1,"Dulski, Thaddeus",72,1973,0
"112",0,1919,2,0,93,8,0,1988,0.194000005722046,0.209999993443489,1964,0,0,10719,0,0.257386773824692,0,0,0,200,5,"TN",0,"Duncan, John",100,1973,0
"113",0,1913,8,0,93,24,1,2001,-0.546999990940094,-0.0599999986588955,1966,0,0,11013,0,1.02321922779083,0,1,0,100,4,"TX",0,"Eckhardt, Bob",64,1973,0
"114",0,1915,9,0,93,43,1,2015,-0.598999977111816,-0.418999999761581,1962,0,0,10583,0,0.133344948291779,0,1,0,100,6,"CA",1,"Edwards, Don",72,1973,0
"115",0,1928,1,0,93,7,0,NA,0.177000001072884,0.160999998450279,1964,0,0,10721,0,0.241881534457207,0,0,1,200,5,"AL",0,"Edwards, Jack",77,1973,0
"116",0,1921,4,0,93,25,1,2004,-0.442999988794327,0.0839999988675117,1966,0,0,11014,0,0.314239263534546,0,1,0,100,4,"PA",1,"Eilberg, Joshua",56,1973,0
"117",0,1927,14,0,93,24,0,2005,0.314999997615814,-0.437999993562698,1964,0,0,10722,0,0.612404942512512,0,0,0,200,5,"IL",0,"Erlenborn, John",73,1973,0
"118",0,1927,2,0,93,19,0,2010,0.13400000333786,-0.528999984264374,1966,0,0,11015,0,0.397967487573624,0,0,0,200,4,"MI",0,"Esch, Marvin",56,1973,0
"119",0,1920,16,0,93,25,0,1985,0.275999993085861,-0.156000003218651,1966,0,0,11016,0,0.0413472689688206,0,0,0,200,4,"PA",0,"Eshleman, Edwin",73,1973,0
"120",0,1923,3,0,93,5,1,2010,-0.331000000238419,0.120999999344349,1964,0,0,10723,0,0.235506668686867,0,1,0,100,5,"CO",0,"Evans, Frank",66,1973,0
